cells,panels,penalty_v,penalty_p,cost,sum_d
150,54,0.841459447856757,424.4818043618674,49980,29741.646866580075
160,54,0.753583668227578,407.92456883843727,50720,29741.646866580075
170,54,0.7092552171553677,393.43339831328456,51460,29741.646866580075
180,54,0.6698521495356252,380.60645139300357,52200,29741.646866580075
190,54,0.6345967732442761,369.22704816859357,52940,29741.646866580075
200,54,0.6028669345820622,359.07604777223855,53680,29741.646866580075
70,56,1409.4120234786092,901.827878091986,45500,29741.646866580075
80,56,717.9011817762266,756.4338252472978,46240,29741.646866580075
90,56,308.27564004855674,680.663387123627,46980,29741.646866580075
100,56,110.66262637147393,626.4899198419135,47720,29741.646866580075
110,56,33.11340999165246,583.9593892303546,48460,29741.646866580075
120,56,9.100400902259594,548.7634050064001,49200,29741.646866580075
130,56,2.828728245505024,519.1360532441956,49940,29741.646866580075
140,56,1.2116835235446688,493.82358220619375,50680,29741.646866580075
150,56,0.841459447856757,472.0244420207156,51420,29741.646866580075
160,56,0.753583668227578,453.0420166815858,52160,29741.646866580075
170,56,0.7092552171553677,436.3276141640593,52900,29741.646866580075
180,56,0.6698521495356252,421.59718862946727,53640,29741.646866580075
190,56,0.6345967732442761,408.5097733195696,54380,29741.646866580075
200,56,0.6028669345820622,396.80003094528826,55120,29741.646866580075
70,58,1409.4120234786092,996.7550718845813,46940,29741.646866580075
80,58,717.9011817762266,836.748048511577,47680,29741.646866580075
90,58,308.27564004855674,753.339843071076,48420,29741.646866580075
100,58,110.65348082907225,692.9987901030894,49160,29741.646866580075
110,58,33.11340999165246,645.1275410898444,49900,29741.646866580075
120,58,9.100400902259594,605.5401215330717,50640,29741.646866580075
130,58,2.828728245505024,572.1544748520386,51380,29741.646866580075
140,58,1.2116835235446688,543.6869788171782,52120,29741.646866580075
150,58,0.841459447856757,519.0959542968127,52860,29741.646866580075
160,58,0.753583668227578,497.69761906506795,53600,29741.646866580075
170,58,0.7092552171553677,478.9157592490996,54340,29741.646866580075
180,58,0.6698521495356252,462.2591864978568,55080,29741.646866580075
190,58,0.6345967732442761,447.45475350427927,55820,29741.646866580075
200,58,0.6028669345820622,434.2161590608608,56560,29741.646866580075
70,60,1409.4120234786092,1088.4972784296663,48380,29741.646866580075
80,60,717.9011817762266,916.8812982603207,49120,29741.646866580075
90,60,308.27564004855674,825.4796529758127,49860,29741.646866580075
100,60,110.65348082907225,758.9263594263577,50600,29741.646866580075
110,60,33.11340999165246,705.8075343614197,51340,29741.646866580075
120,60,9.100400902259594,661.8629668359566,52080,29741.646866580075
130,60,2.828728245505024,624.7600374199498,52820,29741.646866580075
140,60,1.2116835235446688,593.094373350883,53560,29741.646866580075
150,60,0.841459447856757,565.7383650245482,54300,29741.646866580075
160,60,0.753583668227578,541.8489157165108,55040,29741.646866580075
170,60,0.7092552171553677,520.8387767070332,55780,29741.646866580075
180,60,0.6698521495356252,502.22835544260454,56520,29741.646866580075
190,60,0.6345967732442761,485.6249200671521,57260,29741.646866580075
200,60,0.6028669345820622,470.70290990314095,58000,29741.646866580075
70,40,1572.2341279498867,150.66719712312917,33980,29754.20343081943
80,40,1061.5811881363206,79.91476808241943,34720,29754.20343081943
90,40,756.2873112832925,54.46841336909145,35460,29754.20343081943
100,40,571.3119549865497,43.612186524205946,36200,29754.20343081943
110,40,446.1838322540538,37.63147082483679,36940,29754.20343081943
120,40,353.4098260476426,34.20782074960706,37680,29754.20343081943
130,40,282.270689528157,31.63054939712211,38420,29754.20343081943
140,40,244.35494296701722,30.08347785406665,39160,29754.20343081943
150,40,219.7682920978235,28.942589733710555,39900,29754.20343081943
160,40,202.805906041779,28.169570227095033,40640,29754.20343081943
170,40,194.26347613542458,27.676501230924863,41380,29754.20343081943
180,40,172.0687985946873,27.31740199490358,42120,29754.20343081943
190,40,151.8298532896919,27.213710384960894,42860,29754.20343081943
200,40,138.96588623050798,27.135622733543723,43600,29754.20343081943
70,42,1478.9785278635932,245.26412303142024,35420,29754.20343081943
80,42,827.6832187200282,167.1089102697749,36160,29754.20343081943
90,42,429.72389047454806,139.3015746247866,36900,29754.20343081943
100,42,199.76535607323993,128.418150207754,37640,29754.20343081943
110,42,81.46276494779292,122.15841168548327,38380,29754.20343081943
120,42,29.586374994762604,117.69239429563076,39120,29754.20343081943
130,42,9.744873244020292,114.14002504625618,39860,29754.20343081943
140,42,2.9319066424695146,111.1723655457671,40600,29754.20343081943
150,42,1.2347794895779527,108.79945116537414,41340,29754.20343081943
160,42,0.9999646296642898,106.84428809005203,42080,29754.20343081943
170,42,0.9160205822532878,105.20681066775336,42820,29754.20343081943
180,42,0.8651305499058842,103.8875357300814,43560,29754.20343081943
190,42,0.8195973630687334,102.80335767375631,44300,29754.20343081943
200,42,0.7786174949152946,101.91517918794348,45040,29754.20343081943
70,44,1451.7973891846327,347.39304697601483,36860,29754.20343081943
80,44,762.4571453355164,256.8538349864483,37600,29754.20343081943
90,44,350.0883441710554,225.9315807452076,38340,29754.20343081943
100,44,138.57266886171212,209.2506355009173,39080,29754.20343081943
110,44,44.68817912585814,198.29470498113963,39820,29754.20343081943
120,44,12.497858066761909,189.5534989488435,40560,29754.20343081943
130,44,3.2279119421404125,182.27330646130468,41300,29754.20343081943
140,44,1.1884429244329788,176.1341492116818,42040,29754.20343081943
150,44,0.8631427705518127,170.97081098054176,42780,29754.20343081943
160,44,0.8031990813570655,166.5714420117039,43520,29754.20343081943
170,44,0.7559520765713555,162.78862452140794,44260,29754.20343081943
180,44,0.7139547389840577,159.55068549558402,45000,29754.20343081943
190,44,0.6763781737743711,156.72362257110487,45740,29754.20343081943
200,44,0.6425592650856524,154.30790087039057,46480,29754.20343081943
70,46,1445.4186999165822,444.1872502734596,38300,29754.20343081943
80,46,747.2493014841222,343.41211135131573,39040,29754.20343081943
90,46,330.76995349654067,305.8881707409101,39780,29754.20343081943
100,46,122.98745552415868,283.575590436325,40520,29754.20343081943
110,46,37.274887034275785,267.3766640666967,41260,29754.20343081943
120,46,9.895532938928538,254.1359388056519,42000,29754.20343081943
130,46,2.5706989441057146,243.0466956175367,42740,29754.20343081943
140,46,1.0706860101060065,233.69162680903347,43480,29754.20343081943
150,46,0.7881085956014857,225.68741449653547,44220,29754.20343081943
160,46,0.7328545423411341,218.75024611631667,44960,29754.20343081943
170,46,0.689745451615185,212.7788726639978,45700,29754.20343081943
180,46,0.6514262598587857,207.59007878371608,46440,29754.20343081943
190,46,0.6171406672346395,203.05608523548165,47180,29754.20343081943
200,46,0.5862836338729074,199.02107819897338,47920,29754.20343081943
70,48,1443.7207006154913,537.3154455955846,39740,29754.20343081943
80,48,744.7066714719158,429.2768550524492,40480,29754.20343081943
90,48,326.40009225931215,382.3341653617533,41220,29754.20343081943
100,48,119.4400195068763,354.1018185614406,41960,29754.20343081943
110,48,35.887608785858326,332.54580663250664,42700,29754.20343081943
120,48,9.503475478717762,314.9469145242984,43440,29754.20343081943
130,48,2.499133989724446,300.1814311405393,44180,29754.20343081943
140,48,1.0232289348265589,287.6342990124163,44920,29754.20343081943
150,48,0.7438153253406681,276.8503677735936,45660,29754.20343081943
160,48,0.6913296014716177,267.55240963861206,46400,29754.20343081943
170,48,0.6506631543262286,259.4606112667177,47140,29754.20343081943
180,48,0.6145152013081043,252.3542263905372,47880,29754.20343081943
190,48,0.5821722959760993,246.10503405387357,48620,29754.20343081943
200,48,0.5530636811772942,240.58637700361447,49360,29754.20343081943
70,50,1443.1871773011144,627.2275052521196,41180,29754.20343081943
80,50,744.3045052628408,513.5726045894338,41920,29754.20343081943
90,50,325.3575067751673,457.5289588558793,42660,29754.20343081943
100,50,118.3971667577585,423.07441987168085,43400,29754.20343081943
110,50,35.542310093918466,396.33721851133635,44140,29754.20343081943
120,50,9.407623672486885,374.3155526058736,44880,29754.20343081943
130,50,2.4716899659862994,355.86221876849123,45620,29754.20343081943
140,50,0.9977451984982816,340.15340848397966,46360,29754.20343081943
150,50,0.720030504767609,326.64101999838795,47100,29754.20343081943
160,50,0.6690313321843746,314.95023656979794,47840,29754.20343081943
170,50,0.6296765479382351,304.7353514918485,48580,29754.20343081943
180,50,0.5946945174972218,295.78241521887907,49320,29754.20343081943
190,50,0.5633948060499998,287.8424238090123,50060,29754.20343081943
200,50,0.5352250657474997,280.79187073502436,50800,29754.20343081943
70,52,1443.0511590835058,716.0634907587803,42620,29754.20343081943
80,52,744.1318866474812,595.4042235173965,43360,29754.20343081943
90,52,325.2274069672085,532.0789466273429,44100,29754.20343081943
100,52,118.28850003011345,491.1711615205644,44840,29754.20343081943
110,52,35.54011794168983,459.22232455208564,45580,29754.20343081943
120,52,9.407494745075756,432.9005375140756,46320,29754.20343081943
130,52,2.4715709560683337,410.7218042691818,47060,29754.20343081943
140,52,0.9976346892887417,391.88045960517627,47800,29754.20343081943
150,52,0.7199273628387051,375.67498707480394,48540,29754.20343081943
160,52,0.6689346366260274,361.5399467558818,49280,29754.20343081943
170,52,0.6295855403539081,349.213662938487,50020,29754.20343081943
