confid,dist_name,params
5_hour_4,powerlognorm,"[0.2774203615551118, 0.3620068195784275, -0.04912381180500822, 0.13180050253996206]"
5_hour_5,lognorm,"[0.6922330845777436, -0.02712530151667434, 0.22570218065533815]"
5_hour_6,powerlognorm,"[0.21424557772438063, 0.38791347455400643, -0.06144535927473603, 0.16124635060355944]"
5_hour_7,powerlognorm,"[0.285418918170382, 0.4172252733940697, -0.08225822068524126, 0.2238609335701994]"
5_hour_8,powerlognorm,"[0.24312600073540905, 0.41753975324849346, -0.07291251988109076, 0.1984671593925344]"
5_hour_9,powerlognorm,"[0.22539006937918146, 0.44050785637035506, -0.05960488557156405, 0.1683523194444343]"
5_hour_10,powerlognorm,"[0.18349061618380091, 0.41585395966052885, -0.056530725750115446, 0.1482863903590924]"
5_hour_11,lognorm,"[0.8337435460564333, -0.027266049604279186, 0.31283668055899005]"
5_hour_12,powerlognorm,"[0.21112557579220648, 0.42041836354124834, -0.06367919383926483, 0.16921753737174966]"
5_hour_13,powerlognorm,"[0.20609379308365397, 0.40971220801520714, -0.06393103220529979, 0.1650526486675061]"
5_hour_14,powerlognorm,"[0.22814921651493691, 0.4201058945277383, -0.06328593524034799, 0.17008860605975845]"
5_hour_15,lognorm,"[0.7798372530410613, -0.03500342541926842, 0.3392929223363337]"
5_hour_16,lognorm,"[0.7764326788871414, -0.03935481128025177, 0.3889063413149675]"
5_hour_17,lognorm,"[0.7626234925437234, -0.047341058501151424, 0.44657710174796844]"
5_hour_18,lognorm,"[0.7341001740936597, -0.05495603026772354, 0.47947230218795145]"
5_hour_19,lognorm,"[0.6862118469010041, -0.06668566945585136, 0.4992708963585091]"
5_hour_20,powerlognorm,"[1.5880103284326976, 0.7429937934119183, -0.07414269821757066, 0.7286059529801999]"
5_hour_21,powerlognorm,"[2.0036732639380874, 0.7765400656136625, -0.07479258697024253, 0.8342687052760922]"
5_hour_22,lognorm,"[0.7105493891174388, -0.049269092609484706, 0.3975003369066805]"
5_hour_23,powerlognorm,"[0.16779854621858092, 0.3525920826100298, -0.06067489154132299, 0.14288777921303503]"
6_hour_0,powerlognorm,"[0.2199246921818661, 0.36685772710435255, -0.04785813399996684, 0.1288427814693623]"
6_hour_1,lognorm,"[0.6474518183477103, -0.024348708908182, 0.1990744437832352]"
6_hour_2,powerlognorm,"[0.2989415064481718, 0.36945522883756016, -0.046802626908996926, 0.13164365864943206]"
6_hour_3,powerlognorm,"[0.2766660142943971, 0.3592597688855398, -0.04332634583853227, 0.12432060573075748]"
6_hour_4,lognorm,"[0.6278781902263315, -0.024129610364422415, 0.19210683572719495]"
6_hour_5,powerlognorm,"[0.24646509988178694, 0.37475759716950363, -0.04973883399548118, 0.13360127726397825]"
6_hour_6,powerlognorm,"[0.20799591013335006, 0.38518021956738574, -0.056614529630585504, 0.14876246850519473]"
6_hour_7,powerlognorm,"[0.2525103503393952, 0.40757365642735427, -0.07376252669775439, 0.1972399260422193]"
6_hour_8,powerlognorm,"[0.2298111523257964, 0.4041046566031766, -0.07315508213230959, 0.19005821243806753]"
6_hour_9,powerlognorm,"[0.19478594290843715, 0.40746317389333153, -0.0638683099678431, 0.16233490402294415]"
6_hour_10,powerlognorm,"[0.19055837932595626, 0.41617779090573503, -0.05771306571556607, 0.14994036271597427]"
6_hour_11,powerlognorm,"[0.1910945111966384, 0.41171605027993247, -0.05923201712380757, 0.1531376503393211]"
6_hour_12,powerlognorm,"[0.19097407683891587, 0.40286864956340085, -0.06341518988868236, 0.16286898521401197]"
6_hour_13,powerlognorm,"[0.19858554567460757, 0.39837178655160976, -0.06452204724120722, 0.16431669146201747]"
6_hour_14,powerlognorm,"[0.21244626155382246, 0.40359372842524566, -0.06506915764678514, 0.1681927098393885]"
6_hour_15,powerlognorm,"[0.23185666614784264, 0.4141316238175705, -0.07075404854896168, 0.18700022405474293]"
6_hour_16,powerlognorm,"[0.23634445401415988, 0.4220374206457582, -0.0769928738411989, 0.2126264899007187]"
6_hour_17,powerlognorm,"[0.5365286680731672, 0.5999352886458438, -0.06153487044848854, 0.3109106358034845]"
6_hour_18,lognorm,"[0.7507256156546254, -0.04667187697087266, 0.4511031147401613]"
6_hour_19,powerlognorm,"[0.42422914916905685, 0.49287365109488673, -0.08618497790705097, 0.31963633466738073]"
6_hour_20,powerlognorm,"[0.438163546905996, 0.4565545611671803, -0.10861302723064453, 0.36606220459150046]"
6_hour_21,lognorm,"[0.6167226189416991, -0.09044621690830698, 0.5348888299521108]"
6_hour_22,lognorm,"[0.7059369153287516, -0.048188694550112605, 0.39792216400681224]"
6_hour_23,powerlognorm,"[0.18115872386895732, 0.36143479762278363, -0.059255116322793656, 0.14633376898541828]"
7_hour_0,powerlognorm,"[0.24513454950506458, 0.3691698186039446, -0.05510817261959608, 0.14872195323990467]"
7_hour_1,powerlognorm,"[0.2824635006412884, 0.36618248895722744, -0.05327548444364986, 0.1467041048440622]"
7_hour_2,powerlognorm,"[0.2914463017982529, 0.3647254354382305, -0.051734239273535786, 0.14400095144361647]"
7_hour_3,powerlognorm,"[0.3054326741196602, 0.35913834554959, -0.051236694105876404, 0.14448632629448166]"
7_hour_4,powerlognorm,"[0.29843055265137075, 0.3609414181212358, -0.05179037153982717, 0.14479059549483086]"
7_hour_5,powerlognorm,"[0.2471612470728603, 0.36823353732614594, -0.05349201962944998, 0.14405025084517595]"
7_hour_6,powerlognorm,"[0.23486410068491037, 0.3837970612231315, -0.06287361366129632, 0.16637054280898117]"
7_hour_7,powerlognorm,"[0.2651251080591, 0.39361129157489605, -0.07875362466850463, 0.20845745989766726]"
7_hour_8,lognorm,"[0.7297757010137529, -0.037796299522305905, 0.33417564269330313]"
7_hour_9,powerlognorm,"[0.2336941431840469, 0.4084728571879447, -0.07012220881134124, 0.1832820309296817]"
7_hour_10,powerlognorm,"[0.21432097668406103, 0.4053633526780175, -0.06499997480712306, 0.16766873334937274]"
7_hour_11,powerlognorm,"[0.22197328158530705, 0.40726943108761415, -0.06656201411343447, 0.1725044428815502]"
7_hour_12,powerlognorm,"[0.2253035688321836, 0.3953663622979252, -0.072203353329058, 0.18639677158590556]"
7_hour_13,powerlognorm,"[0.22769243535340067, 0.3908440151334489, -0.07336279066043852, 0.18596517636083723]"
7_hour_14,powerlognorm,"[0.23874337915404079, 0.3902170535670482, -0.07301428258885506, 0.1881541052779693]"
7_hour_15,lognorm,"[0.7135628622554366, -0.04279308794923345, 0.3403910699916973]"
7_hour_16,powerlognorm,"[0.24046590023954464, 0.40248556729541524, -0.08236574928012932, 0.21855076830504694]"
7_hour_17,powerlognorm,"[0.2478000974586805, 0.4083902208285182, -0.0907344147629056, 0.24663656883688212]"
7_hour_18,powerlognorm,"[0.3082045835741628, 0.4378754683511741, -0.09220518628485126, 0.2815610270046378]"
7_hour_19,powerlognorm,"[0.3028217061419588, 0.40499632951136166, -0.10504836880845606, 0.298272106951715]"
7_hour_20,powerlognorm,"[0.41759184003926836, 0.4316323853263501, -0.11665125263294265, 0.37002398962702465]"
7_hour_21,powerlognorm,"[1.170857482155409, 0.6298015446946241, -0.09084307696800598, 0.5856606847596396]"
7_hour_22,lognorm,"[0.6724058796315929, -0.05605899607129615, 0.41607322511646894]"
7_hour_23,powerlognorm,"[0.20523214715040883, 0.3635831160315279, -0.06644383592501402, 0.16842657024456625]"
8_hour_0,powerlognorm,"[0.2339675179837276, 0.36047734164913015, -0.054296015503033535, 0.14385804337369018]"
8_hour_1,lognorm,"[0.6253391024814898, -0.02896165751936878, 0.21398812811392226]"
8_hour_2,lognorm,"[0.6084945248038676, -0.02911601728997757, 0.2066209627651202]"
8_hour_3,powerlognorm,"[0.29522681919758675, 0.35640792157246914, -0.04940034805333595, 0.1391492796213893]"
8_hour_4,powerlognorm,"[0.28170274659411443, 0.3568017132965801, -0.04887180766897037, 0.13711506018780006]"
8_hour_5,powerlognorm,"[0.23515853584761376, 0.36032897824562543, -0.04994781049552641, 0.1373748341624863]"
8_hour_6,powerlognorm,"[0.23649608293902466, 0.3754322970701499, -0.059866724549041225, 0.16007808956986314]"
8_hour_7,powerlognorm,"[0.2565805617065522, 0.38766429977348577, -0.07419739563822436, 0.19456809896932237]"
8_hour_8,powerlognorm,"[0.22282239124353082, 0.38515383990958796, -0.07423996882491397, 0.18896835685200553]"
8_hour_9,powerlognorm,"[0.21814358341088788, 0.4014087344892129, -0.06942558594841305, 0.17691203887457396]"
8_hour_10,powerlognorm,"[0.20913008060862529, 0.39905327357787085, -0.06785272454766941, 0.168990673811743]"
8_hour_11,lognorm,"[0.7817046556640326, -0.0323852311204791, 0.3123977454707608]"
8_hour_12,powerlognorm,"[0.2015047388049206, 0.3837811872185015, -0.07118619481172736, 0.1766134704218144]"
8_hour_13,powerlognorm,"[0.2106726509759964, 0.3819258704238411, -0.07184035407908607, 0.17746736873698316]"
8_hour_14,lognorm,"[0.7398823911683361, -0.03615870512129375, 0.3117646616813877]"
