confid,dist_name,params
5_hour_5,powerlognorm,"[0.8940986436264631, 0.654280767723793, -0.03894505926961349, 0.2444430372746864]"
5_hour_6,powerlognorm,"[0.10101668384237747, 0.2904898507819112, -0.04322887362930532, 0.12924164447811287]"
5_hour_7,lognorm,"[0.9663832340912712, 0.02643022584442519, 0.3010890289663096]"
5_hour_8,powerlognorm,"[30.48677663589742, 1.9139153981585575, -0.007417688460472689, 16.431583996276252]"
5_hour_9,lognorm,"[0.9363172779566947, -0.002602058775326118, 0.33804260220288435]"
5_hour_10,lognorm,"[0.9121813614746188, -0.00935468685774956, 0.36234658982931]"
5_hour_11,lognorm,"[0.868163426031971, -0.019160119977675843, 0.35216988464149124]"
5_hour_12,powerlognorm,"[1.2622222428195446, 0.9669910423636003, -0.0013688647350037682, 0.4017497661025654]"
5_hour_13,powerlognorm,"[3.0835442558722272, 1.264821741021255, 0.001759259432918923, 0.8778111923786114]"
5_hour_14,lognorm,"[0.8278886836209189, -0.014696245412291807, 0.3144284711778153]"
5_hour_15,lognorm,"[0.9154684656522498, 0.00706426901918963, 0.28721395914719955]"
5_hour_16,lognorm,"[0.9257394504289707, -0.00790413806594421, 0.34350123205868033]"
5_hour_17,lognorm,"[0.9999627373566561, 0.014535555098618926, 0.37135528417473185]"
5_hour_18,lognorm,"[1.0218579132214898, 0.015569800486467217, 0.4168684348805715]"
5_hour_19,lognorm,"[0.9322744682924757, 0.004359518464568958, 0.44803663998219334]"
5_hour_20,lognorm,"[0.8415693929173858, 0.0028520738262652347, 0.466983424991455]"
5_hour_21,lognorm,"[0.7492889719235073, -0.032008830301410565, 0.4923044523016114]"
5_hour_22,lognorm,"[0.9358629237312329, 0.038958399694687326, 0.28480111847801903]"
5_hour_23,lognorm,"[0.7906540740304282, -0.01692455614912986, 0.2528343470656173]"
6_hour_0,powerlognorm,"[0.12641759118305212, 0.243914792706539, -0.09152722887727037, 0.15415480196075484]"
6_hour_1,powerlognorm,"[0.2812616033185339, 0.32897441982841225, -0.07266027654903559, 0.15997228851082923]"
6_hour_2,powerlognorm,"[0.2635279857995751, 0.3415162055886525, -0.05332200121684154, 0.13793756668033028]"
6_hour_3,powerlognorm,"[0.2659120178496675, 0.3474888035556576, -0.05747453790628126, 0.14415203464194698]"
6_hour_4,powerlognorm,"[0.305841355357212, 0.36501203016240313, -0.06913615337351121, 0.16086685632519185]"
6_hour_5,powerlognorm,"[0.24304471876164568, 0.33932956538457726, -0.0745245722464703, 0.1710895739489658]"
6_hour_6,powerlognorm,"[0.835055039814929, 0.8384011178423572, 0.023777797539015443, 0.2080261455191608]"
6_hour_7,powerlognorm,"[0.021486730179056703, 0.14797479308549188, -0.07076884153473881, 0.12211603705643892]"
6_hour_8,lognorm,"[0.8260911517231667, -0.03737985252424272, 0.36283837080651404]"
6_hour_9,lognorm,"[0.888859669789527, -0.016262139854069046, 0.3182114920668282]"
6_hour_10,powerlognorm,"[6.693324271673191, 1.4994875879237246, -0.005619255272942432, 2.4238112776804535]"
6_hour_11,powerlognorm,"[0.501713759305107, 0.6975286108112033, -0.016933195763364686, 0.21014188656943406]"
6_hour_12,powerlognorm,"[0.03321697807082137, 0.19115606979868577, -0.07309770733074572, 0.12311882115980122]"
