confid,dist_name,params
6_hour_7,powerlognorm,"[0.212615805451077, 0.3699829699500992, -0.004624356811848952, 0.15957479318674228]"
6_hour_8,powerlognorm,"[0.1506761202522383, 0.3920579239193306, 0.022580061996370054, 0.10931789280423967]"
6_hour_9,lognorm,"[0.8419223154950077, 0.03673487661053692, 0.26517191550489005]"
6_hour_10,lognorm,"[0.861435708838638, 0.04053355286155516, 0.23745639073190433]"
6_hour_11,powerlognorm,"[0.22653826378727998, 0.4854908945703667, 0.02233685189047551, 0.11733181867813025]"
6_hour_12,powerlognorm,"[0.16128580387352753, 0.417238687328374, 0.01795143820528649, 0.10666810521234565]"
6_hour_13,powerlognorm,"[0.15294019721678676, 0.4067611376096154, 0.019570414216638944, 0.10664222688681245]"
6_hour_14,powerlognorm,"[0.17799023288151086, 0.3988807573420825, 0.007227891323338755, 0.12901556968935085]"
6_hour_15,lognorm,"[0.859100053169785, 0.03010296974539911, 0.30186105179918565]"
6_hour_16,powerlognorm,"[0.8555375506479084, 0.7884495537149416, 0.034773317790890754, 0.27468580049490265]"
6_hour_17,lognorm,"[0.7691535541590142, 0.026565181248136498, 0.34899152042879633]"
6_hour_18,powerlognorm,"[0.1873497126975253, 0.37262952855263953, -0.004943468423274789, 0.1787072923276632]"
6_hour_19,lognorm,"[0.7082941941725747, 0.010340530309451436, 0.3701942548352133]"
6_hour_20,powerlognorm,"[4.719991663853056, 1.1464387402667122, 0.03921948536252039, 1.3454838364512116]"
6_hour_21,lognorm,"[0.6868352322819804, 0.01683693307273605, 0.423126569336068]"
6_hour_22,lognorm,"[0.7904544255390538, 0.04015911511317202, 0.30703145657921393]"
6_hour_23,lognorm,"[0.9167471494615556, 0.04487147521103696, 0.19056948290887432]"
7_hour_0,lognorm,"[0.7824716028503255, 0.041481600515950234, 0.16440082482202223]"
7_hour_1,powerlognorm,"[0.7731741497085437, 0.6253373778529183, 0.030375468335858857, 0.13935710365122858]"
7_hour_2,powerlognorm,"[0.6097164564347453, 0.5169942792529937, 0.023415949854029474, 0.12627456967360523]"
7_hour_3,powerlognorm,"[1.4846404020044623, 0.7062652138941238, 0.03574759426287173, 0.18233762609695198]"
7_hour_4,powerlognorm,"[0.46422594155536867, 0.44228005955850835, 0.021256412254024883, 0.11152095420771369]"
7_hour_5,powerlognorm,"[0.15531449375809697, 0.41947562663335786, 0.030617924649706498, 0.06889293569206537]"
7_hour_6,powerlognorm,"[0.08830650470210186, 0.3827041644384657, 0.03681148412148848, 0.06387054044770041]"
7_hour_7,lognorm,"[0.6777906145643346, 0.032914689260536686, 0.26924585807078993]"
7_hour_8,powerlognorm,"[0.16457046699944616, 0.3572712662302423, 0.011780080337100759, 0.12819331929393127]"
7_hour_9,powerlognorm,"[0.16853547135351968, 0.35351930099068096, 0.009753942963349395, 0.12721964104356775]"
7_hour_10,powerlognorm,"[0.3058690320553871, 0.4693939513629848, 0.013169272315419814, 0.1481026545644774]"
7_hour_11,powerlognorm,"[0.21548985129129, 0.3997367101385857, 0.0002395701316402021, 0.15520573440580604]"
7_hour_12,powerlognorm,"[0.19021908842288343, 0.3864153211845168, 0.014410960639292186, 0.13859653594589663]"
7_hour_13,powerlognorm,"[0.22063148656610626, 0.3880153809547363, 0.006459776640414565, 0.14633309849838452]"
7_hour_14,lognorm,"[0.7238506457571212, 0.03551673412046969, 0.2521608887895197]"
7_hour_15,powerlognorm,"[0.1597260415613745, 0.38451158698899046, 0.025150976503115027, 0.11945073046736045]"
7_hour_16,powerlognorm,"[0.13315847059966723, 0.3526707564778603, 0.023889932248983378, 0.1253557104480686]"
7_hour_17,powerlognorm,"[0.18160098081678028, 0.3491925072645577, -0.005790542638691793, 0.1782177882111372]"
7_hour_18,powerlognorm,"[0.1631861108920703, 0.3370702964717891, 0.013040501358584786, 0.15817310072600582]"
7_hour_19,powerlognorm,"[0.1826388740012831, 0.3290952401348163, -0.010723427677708758, 0.19699835819910455]"
7_hour_20,lognorm,"[0.5855204010465002, -0.006468347834716746, 0.4186160300357369]"
7_hour_21,powerlognorm,"[0.18414220937643822, 0.299326895669353, -0.041244575651612804, 0.25941839838654535]"
7_hour_22,lognorm,"[0.7277877020285004, 0.03836695395858759, 0.3105215959346005]"
7_hour_23,powerlognorm,"[0.13456475720551192, 0.3377824445035719, 0.011387826825255052, 0.09899833624383635]"
8_hour_0,lognorm,"[0.7744190196155384, 0.042472432325683124, 0.15656911491818598]"
8_hour_1,powerlognorm,"[12.068257228281142, 1.446454559907223, 0.05214242939597727, 1.3599837063542677]"
8_hour_2,powerlognorm,"[0.9024599603260107, 0.5678744013640327, 0.022917651323659728, 0.15315959282818947]"
8_hour_3,powerlognorm,"[9.430112080845895, 1.1421120994084646, 0.03907236704427986, 0.7717422735865127]"
8_hour_4,lognorm,"[0.6136767178276542, 0.02555243187382608, 0.15485069280534705]"
8_hour_5,powerlognorm,"[0.16723077599037872, 0.4201202953507045, 0.030358082312577722, 0.06901267357230491]"
8_hour_6,powerlognorm,"[0.0983685363819147, 0.4082380107609016, 0.03358077663459768, 0.06118333947168709]"
8_hour_7,powerlognorm,"[0.3274801929306627, 0.36339195660226276, -0.03410181213572508, 0.2202785369904085]"
8_hour_8,lognorm,"[0.7784690561516552, 0.034229121543879235, 0.2653920604979886]"
8_hour_9,powerlognorm,"[0.17582406807509465, 0.3458323305458311, -0.01112842527432711, 0.14872140126637703]"
8_hour_10,powerlognorm,"[0.21590817961625505, 0.3853816132292239, -0.01521035916199575, 0.15987974226871549]"
8_hour_11,powerlognorm,"[0.1915349563550006, 0.3839876738421798, -0.011956236075711179, 0.1548761975888049]"
8_hour_12,powerlognorm,"[0.2384544362203994, 0.37834114183081513, -0.020281470207949077, 0.17823309840558643]"
8_hour_13,powerlognorm,"[0.23378874756732934, 0.3684283961419409, -0.011702789888828427, 0.1646667794732088]"
8_hour_14,powerlognorm,"[0.21920881352619653, 0.41034791025277795, 0.0033414257394083517, 0.13758864071668334]"
8_hour_15,powerlognorm,"[0.1902556280938852, 0.4022336325338198, 0.014869845868337991, 0.13109338687709024]"
8_hour_16,powerlognorm,"[0.24081907776210765, 0.4495909301172253, 0.013973055233356693, 0.15214652765768194]"
8_hour_17,powerlognorm,"[0.22684421014239683, 0.4099673960700463, -0.0034862312201698817, 0.18377368449613485]"
8_hour_18,powerlognorm,"[0.2176880516118875, 0.36205966735263384, -0.03230458778467528, 0.21587993514769244]"
8_hour_19,powerlognorm,"[0.5553420640644133, 0.5692821768661034, -0.00981639976931303, 0.293464977343157]"
8_hour_20,lognorm,"[0.6371868221237945, -0.017105757911962255, 0.46624934083450686]"
8_hour_21,lognorm,"[0.5734852243366504, -0.034538574842535266, 0.4619257486669559]"
8_hour_22,lognorm,"[0.709275472945119, 0.019493664745549234, 0.30449275258471875]"
8_hour_23,lognorm,"[0.7830657349498495, 0.03607436239128799, 0.19732001519144526]"
9_hour_0,lognorm,"[0.7832813061499372, 0.03111344774640835, 0.16312492135970527]"
9_hour_1,gamma,"[1.6451063336639986, 0.04717407611371734, 0.10424614731529483]"
9_hour_2,lognorm,"[0.6258609731785044, 0.023988209080281132, 0.14902815975427264]"
9_hour_3,beta,"[1.9594958109301768, 148531224695.96738, 0.041883770006377774, 12139450559.467165]"
9_hour_4,gamma,"[1.8254093888332665, 0.04589745035847376, 0.08617326020554969]"
9_hour_5,powerlognorm,"[0.28288705900909017, 0.5075281610869885, 0.02519416935355609, 0.08459270873340254]"
9_hour_6,powerlognorm,"[0.084391306913593, 0.41622010835027656, 0.03129888382398495, 0.06167075490589198]"
9_hour_7,powerlognorm,"[0.13375281013502616, 0.3929375378443245, 0.006771046438925651, 0.11994051263055863]"
9_hour_8,lognorm,"[0.9045877766839493, 0.033307571955527436, 0.27067986630800955]"
9_hour_9,powerlognorm,"[0.7083505650450397, 0.8156137308116423, 0.026771035335945624, 0.20877885750530117]"
9_hour_10,lognorm,"[0.9170546808003771, 0.0294953147464631, 0.25761744234368805]"
9_hour_11,powerlognorm,"[0.0965762469197034, 0.29643774778827026, -0.0445617151409252, 0.1410395396168172]"
9_hour_12,lognorm,"[0.9184144906559047, 0.031749973403876884, 0.2826508690606859]"
9_hour_13,powerlognorm,"[0.1916404970930156, 0.46032096337162726, 0.01218623596448699, 0.1148120595637763]"
9_hour_14,powerlognorm,"[0.3550091951331606, 0.6294227142194456, 0.023984061499496678, 0.13019830644732]"
9_hour_15,powerlognorm,"[0.6651862105661905, 0.7751314430210544, 0.01957817188918687, 0.22852022672238514]"
9_hour_16,lognorm,"[0.8875604254271048, 0.019660614443778514, 0.33763391881377575]"
9_hour_17,lognorm,"[0.8541439690583625, 0.01647644825349736, 0.38164414472180774]"
9_hour_18,lognorm,"[0.7780857958277021, -0.0037069413167070886, 0.45713896540613097]"
9_hour_19,lognorm,"[0.736641968073658, -0.02897761428100676, 0.5449488085124349]"
9_hour_20,powerlognorm,"[2.84731035935172, 0.9725469483821874, -0.005501958694891438, 1.1210623971471843]"
9_hour_21,powerlognorm,"[0.8060601010340298, 0.612890854349512, -0.030725665309989096, 0.4252591269853342]"
9_hour_22,powerlognorm,"[11.956783299543531, 1.4846196318858043, 0.03227876626410766, 3.1263405054580833]"
9_hour_23,lognorm,"[0.8317180020312165, 0.03085475086852843, 0.19779411536768837]"
10_hour_0,lognorm,"[0.7376526160084492, 0.02872358953515794, 0.1656933654293169]"
10_hour_1,lognorm,"[0.6599347872863727, 0.02565579731292058, 0.15195113894180495]"
10_hour_2,lognorm,"[0.5850071977130917, 0.018653084736278785, 0.15540601733514725]"
10_hour_3,lognorm,"[0.6063449449465357, 0.022636275562061103, 0.1477919167090255]"
10_hour_4,lognorm,"[0.844668203244604, 0.040286882116280176, 0.12855134776926924]"
10_hour_5,powerlognorm,"[0.14161231346534192, 0.4242651881733423, 0.029404309629615436, 0.05819449174514475]"
10_hour_6,lognorm,"[1.0665929026683878, 0.04904190700757552, 0.2550122910414081]"
10_hour_7,powerlognorm,"[0.11470305730397212, 0.3496977281197582, 0.005871875324038149, 0.13176658495208116]"
10_hour_8,powerlognorm,"[0.0835141742735313, 0.29928549249228653, 0.009747796474093948, 0.11297593138395177]"
10_hour_9,lognorm,"[0.9139276865229192, 0.03745600609253182, 0.27782690354073625]"
10_hour_10,powerlognorm,"[0.15176375822556143, 0.4399740973273001, 0.0160668308597227, 0.10628898715257928]"
10_hour_11,powerlognorm,"[0.5204078483044645, 0.7241671524078461, 0.0203800728189761, 0.20743880777648693]"
10_hour_12,powerlognorm,"[0.1444530313351763, 0.4172246517932266, 0.008304855237553609, 0.11495133568950353]"
10_hour_13,powerlognorm,"[0.18938380629418264, 0.4641448625117937, 0.014865871352399414, 0.11639707736344487]"
10_hour_14,powerlognorm,"[0.17101202196204957, 0.42999611863957055, 0.0116695530359958, 0.11406430502540682]"
10_hour_15,powerlognorm,"[0.11283464822153118, 0.4107791537700773, 0.014971419615175605, 0.09945344455767799]"
10_hour_16,powerlognorm,"[0.16297886879060602, 0.43277157964551494, -0.001320268784153643, 0.14907680826008876]"
10_hour_17,powerlognorm,"[0.1558641018531255, 0.36736770429493454, -0.024990924796270055, 0.2094496545631046]"
10_hour_18,lognorm,"[0.7659752119023824, 0.00592553246775364, 0.5214788953757852]"
10_hour_19,lognorm,"[0.7795684397058292, 0.006764843078450601, 0.5150415716327956]"
10_hour_20,powerlognorm,"[0.2024240358749603, 0.3562170118537067, -0.07441649528102948, 0.29773703701993987]"
10_hour_21,powerlognorm,"[0.1819299970992566, 0.32653501730236056, -0.05029980072841668, 0.2558052292476795]"
10_hour_22,powerlognorm,"[0.3140016994425739, 0.47520537532093154, 0.004848760907690376, 0.18330848870707564]"
10_hour_23,lognorm,"[0.825462628250736, 0.04062373244940448, 0.19834820794682181]"
11_hour_0,lognorm,"[0.9198608120081023, 0.04203188711082785, 0.18646137935933288]"
11_hour_1,powerlognorm,"[24.965542606590994, 1.9080162309568398, 0.0521977996135177, 5.524999378513977]"
11_hour_2,beta,"[1.304275070530979, 11476917.333309162, 0.05678299284285303, 1460146.705180063]"
11_hour_3,beta,"[1.414969218325445, 1082335503.4217472, 0.055520919518149164, 111859000.84861338]"
11_hour_4,beta,"[2.055504187014618, 267937074833.0424, 0.04524661722786549, 19485944283.640984]"
11_hour_5,powerlognorm,"[0.2681721931682186, 0.4898710150664574, 0.030850433215301447, 0.06610799115602367]"
11_hour_6,powerlognorm,"[0.09671257925535723, 0.41722274202090015, 0.04460148479397984, 0.04544930495618659]"
11_hour_7,powerlognorm,"[0.05302116482416547, 0.34401335508306063, 0.07476544152375413, 0.055759896740431955]"
11_hour_8,beta,"[1.4984646493294684, 34099257817450.17, 0.09024858959682783, 9032742963008.965]"
11_hour_9,lognorm,"[0.8640062066396378, 0.04597568975524778, 0.3181785374052103]"
11_hour_10,lognorm,"[0.9072560560005352, 0.042379225058087985, 0.2905024445141072]"
11_hour_11,lognorm,"[0.9303175033289813, 0.038365562461250446, 0.2927683948905665]"
11_hour_12,lognorm,"[0.9250738093623097, 0.039000127923029135, 0.3351282190490344]"
11_hour_13,powerlognorm,"[0.6808435287752149, 0.8085399260959698, 0.031216697869392136, 0.24187944957635404]"
11_hour_14,powerlognorm,"[0.5399307732116638, 0.6456764237035517, 0.008636204620575827, 0.2260584155696433]"
11_hour_15,lognorm,"[0.9577569027888491, 0.04917682884335342, 0.2883783682212412]"
11_hour_16,powerlognorm,"[8.085722860135974, 1.6565085336503649, 0.07418232072064815, 3.6542488295405997]"
11_hour_17,powerlognorm,"[0.8805539882375788, 0.6995934389114525, 0.006670836095057681, 0.5117970012771685]"
11_hour_18,lognorm,"[0.7311731693700629, 0.00993359445596306, 0.6033234470557466]"
11_hour_19,powerlognorm,"[0.16316363487567967, 0.33354641872700896, -0.07303175691986366, 0.32212943720052944]"
11_hour_20,powerlognorm,"[10.275530479446765, 1.4761369453077502, 0.07826700953252376, 4.53995193828883]"
11_hour_21,powerlognorm,"[3.6883289278583975, 1.102476615073335, 0.052214816088317365, 1.3332903214338416]"
11_hour_22,powerlognorm,"[0.14341222924727687, 0.3282309266490877, 0.0069478028870545985, 0.2062103065986832]"
11_hour_23,lognorm,"[0.8270797207982399, 0.034599713030562154, 0.3042051637509948]"
12_hour_0,powerlognorm,"[3.850406916807445, 1.2444688770806713, 0.03160068962102938, 0.7366877033140251]"
