cells,panels,penalty_v,penalty_p,cost,sum_d
170,50,0.46775300606681025,342.9458066476061,48580,28558.384058907417
180,50,0.44176672795198735,332.50777460887747,49320,28558.384058907417
190,50,0.41851584753346194,323.27391422728454,50060,28558.384058907417
200,50,0.3975900551567888,315.08185786498217,50800,28558.384058907417
210,50,0.3786571953874176,307.7175276349386,51540,28558.384058907417
220,50,0.36144550468798975,301.1064987767413,52280,28558.384058907417
230,50,0.3457304827450335,295.16930373114985,53020,28558.384058907417
150,55,0.6463095518014769,489.52126601764525,50700,28558.384058907417
160,55,0.517384583704604,469.87260938089014,51440,28558.384058907417
170,55,0.46775300606681025,452.5796687743769,52180,28558.384058907417
180,55,0.44176672795198735,437.29811814816213,52920,28558.384058907417
190,55,0.41851584753346194,423.694610456299,53660,28558.384058907417
200,55,0.3975900551567888,411.4889861877411,54400,28558.384058907417
210,55,0.3786571953874176,400.55993355523816,55140,28558.384058907417
220,55,0.36144550468798975,390.68590958213593,55880,28558.384058907417
230,55,0.3457304827450335,381.7059774652474,56620,28558.384058907417
150,30,4718.751960415916,0.0,32700,28467.739108658054
160,30,4854.685420759903,0.0,33440,28467.739108658054
170,30,4985.554269538539,0.0,34180,28467.739108658054
180,30,5109.400987514379,0.0,34920,28467.739108658054
190,30,5225.333221738149,0.0,35660,28467.739108658054
200,30,5332.723434169384,0.0,36400,28467.739108658054
210,30,5430.327126631677,0.0,37140,28467.739108658054
220,30,5519.023083592982,0.0,37880,28467.739108658054
230,30,5599.986860372575,0.0,38620,28467.739108658054
150,35,3257.811921658726,0.0,36300,28467.739108658054
160,35,3412.549132627443,0.0,37040,28467.739108658054
170,35,3566.5495756410796,0.0,37780,28467.739108658054
180,35,3718.7402755647468,0.0,38520,28467.739108658054
190,35,3868.081853688984,0.0,39260,28467.739108658054
200,35,4013.778215765904,0.0,40000,28467.739108658054
210,35,4154.836589081962,0.0,40740,28467.739108658054
220,35,4289.541850699516,0.0,41480,28467.739108658054
230,35,4417.43140117164,0.0,42220,28467.739108658054
150,40,15.477018291604574,99.1771667003391,39900,28467.739108658054
160,40,15.328493563813701,97.53788453984875,40640,28467.739108658054
170,40,14.460336574221584,96.18810354191329,41380,28467.739108658054
180,40,13.656984542320366,95.12595816448803,42120,28467.739108658054
190,40,12.938195882198205,94.27018606087519,42860,28467.739108658054
200,40,12.29128608808833,93.58509017196934,43600,28467.739108658054
210,40,11.705986750560303,93.04975593061798,44340,28467.739108658054
220,40,11.173896443716668,92.57803011033901,45080,28467.739108658054
230,40,10.688074859207243,92.26137489960051,45820,28467.739108658054
150,45,1.5953353695169603,246.39299306521917,43500,28467.739108658054
160,45,1.49562690892215,238.75706889893155,44240,28467.739108658054
170,45,1.4076488554561428,232.10212337217877,44980,28467.739108658054
180,45,1.3294461412641334,226.27226347885022,45720,28467.739108658054
190,45,1.259475291723915,221.1897455802825,46460,28467.739108658054
200,45,1.1965015271377213,216.67339284559142,47200,28467.739108658054
210,45,1.1395252639406865,212.68826184900087,47940,28467.739108658054
220,45,1.0877286610342936,209.15892364744474,48680,28467.739108658054
230,45,1.0404361105545394,206.06357500562746,49420,28467.739108658054
150,50,0.9064242305677197,372.32380850539334,47100,28467.739108658054
160,50,0.8497727161572374,358.5604882099684,47840,28467.739108658054
170,50,0.7997860857950475,346.54064383781315,48580,28467.739108658054
180,50,0.7553535254731004,335.9195371707083,49320,28467.739108658054
190,50,0.715598076763989,326.49959217179344,50060,28467.739108658054
200,50,0.6798181729257904,318.14279959216327,50800,28467.739108658054
210,50,0.6474458789769431,310.6630847971802,51540,28467.739108658054
220,50,0.6180165208416281,303.94730365350404,52280,28467.739108658054
230,50,0.5911462373267744,297.90349712549744,53020,28467.739108658054
150,55,0.7198588980774456,492.3119374022075,50700,28467.739108658054
160,55,0.6748677169476053,472.4701519975421,51440,28467.739108658054
170,55,0.6351696159506871,455.04314133681066,52180,28467.739108658054
180,55,0.5998824150645384,439.6580076765269,52920,28467.739108658054
190,55,0.5683096563769305,425.9392824767787,53660,28467.739108658054
200,55,0.5398941735580843,413.6663341946822,54400,28467.739108658054
210,55,0.5141849271981754,402.6271082276939,55140,28467.739108658054
220,55,0.4908128850528038,392.6515617886572,55880,28467.739108658054
230,55,0.46947319439833435,383.6316375651522,56620,28467.739108658054
